ID,Name,StAndrewsLodge,LoyalNine,NorthCaucus,LongRoomClub,TeaParty,BostonCommittee,LondonEnemies
92,Graham.James,1,0,0,0,0,0,0
93,Grant.Moses,0,0,1,0,1,0,1
94,Gray.Wait,1,0,0,0,0,0,0
95,Greene.Nathaniel,0,0,0,0,1,0,0
96,Greenleaf.Joseph,0,0,1,0,0,1,1
97,Greenleaf.William,0,0,0,0,0,1,1
98,Greenough.Newn,0,0,0,0,0,0,1
99,Ham.William,1,0,0,0,0,0,0
100,Hammond.Samuel,0,0,0,0,1,0,0
101,Hancock.Eben,0,0,0,0,0,0,1
102,Hancock.John,0,0,0,1,0,0,1
103,Hendley.William,0,0,0,0,1,0,0
104,Hewes.George,0,0,0,0,1,0,0
105,Hickling.William,0,0,1,0,0,0,0
106,Hicks.John,0,0,0,0,1,0,0
107,Hill.Alexander,0,0,0,0,0,1,0
108,Hitchborn.Nathaniel,1,0,0,0,0,0,0
109,Hitchborn.Thomas,0,0,1,0,0,0,0
110,Hobbs.Samuel,0,0,0,0,1,0,0
111,Hoffins.John,1,0,0,0,0,0,0
112,Holmes.Nathaniel,0,0,1,0,0,0,0
113,Hooton.John,0,0,0,0,1,0,0
114,Hopkins.Caleb,0,0,0,0,0,0,1
115,Hoskins.William,0,0,1,0,0,0,0
116,Howard.Samuel,0,0,0,0,1,0,0
117,Howe.Edward,0,0,0,0,1,0,0
118,Hunnewell.Jonathan,0,0,0,0,1,0,0
119,Hunnewell.Richard,0,0,0,0,1,0,0
120,Hunstable.Thomas,0,0,0,0,1,0,0
121,Hunt.Abraham,0,0,0,0,1,0,0
122,Ingersoll.Daniel,0,0,0,0,1,0,0
123,Inglish.Alexander,1,0,0,0,0,0,0
124,Isaac.Pierce,0,0,0,0,0,0,1
125,Ivers.James,0,0,0,0,0,0,1
126,Jarvis.Edward,1,0,0,0,0,0,0
127,Jarvis.Charles,0,0,0,0,0,0,1
128,Jefferds.Unknown,1,0,0,0,0,0,0
129,Jenkins.John,1,0,0,0,0,0,0
130,Johnston.Eben,0,0,0,0,0,0,1
131,Johonnott.Gabriel,0,0,1,0,0,0,0
132,Kent.Benjamin,0,0,1,0,0,0,0
133,Kerr.Walter,1,0,0,0,0,0,0
134,Kimball.Thomas,0,0,1,0,0,0,0
135,Kinnison.David,0,0,0,0,1,0,0
136,Lambert.John,0,0,0,1,0,0,0
137,Lee.Joseph,0,0,0,0,1,0,0
138,Lewis.Phillip,1,0,0,0,0,0,0
139,Lincoln.Amos,0,0,0,0,1,0,0
140,Loring.Matthew,0,0,0,0,1,0,0
141,Lowell.John,0,0,1,0,0,0,0
142,Machin.Thomas,0,0,0,0,1,0,0
143,Mackay.William,0,0,0,0,0,1,0
144,MacKintosh.Capt,0,0,0,0,1,0,0
145,MacNeil.Archibald,0,0,0,0,1,0,0
146,Marett.Phillip,1,0,0,0,0,0,0
147,Marlton.John,1,0,0,0,0,0,0
148,Marshall.Thomas,0,0,0,0,0,0,1
149,Marson.John,0,0,0,0,0,0,1
150,Mason.Jonathan,0,0,0,0,0,0,1
151,Matchett.John,0,0,1,0,0,0,0
152,May.John,0,0,0,0,1,0,0
153,McAlpine.William,1,0,0,0,0,0,0
154,Melville.Thomas,0,0,0,0,1,0,0
155,Merrit.John,0,0,1,0,0,0,0
156,Milliken.Thomas,1,0,0,0,0,0,0
157,Molineux.William,0,0,1,0,1,1,0
158,Moody.Samuel,1,0,0,0,0,0,0
159,Moore.Thomas,0,0,0,0,1,0,0
160,Morse.Anthony,0,0,0,0,1,0,0
161,Morton.Perez,0,0,1,0,0,0,0
162,Mountford.Joseph,0,0,0,0,1,0,0
163,Newell.Eliphelet,0,0,0,0,1,0,0
164,Nicholls.Unknown,1,0,0,0,0,0,0
165,Noyces.Nat,0,0,0,0,0,0,1
166,Obear.Israel,1,0,0,0,0,0,0
167,Otis.James,0,0,0,1,0,1,0
168,Palfrey.William,1,0,0,0,0,0,0
169,Palmer.Joseph,0,0,0,0,1,0,0
170,Palms.Richard,0,0,1,0,0,0,0
171,Parker.Jonathan,0,0,0,0,1,0,0
172,Parkman.Elias,0,0,1,0,0,0,1
173,Partridge.Sam,0,0,0,0,0,0,1
174,Payson.Joseph,0,0,0,0,1,0,0
175,Pearce.IsaacJun,0,0,1,0,0,0,0
176,Pearce.Isaac,0,0,1,0,0,0,0
177,Peck.Samuel,1,0,0,0,1,0,0
178,Peck.Thomas,0,0,1,0,0,0,0
179,Peters.John,0,0,0,0,1,0,0
180,Phillips.John,1,0,0,0,0,0,0
181,Phillips.Samuel,0,0,0,1,0,0,0
182,Phillips.William,0,0,0,0,0,0,1
183,Pierce.William,0,0,0,0,1,0,0
184,Pierpont.Robert,0,0,0,0,0,1,0
185,Pitts.John,0,0,0,0,0,0,1
186,Pitts.Lendall,0,0,0,0,1,0,0
187,Pitts.Samuel,0,0,0,0,0,0,1
188,Porter.Thomas,0,0,0,0,1,0,0
189,Potter.Edward,1,0,0,0,0,0,0
190,Powell.William,0,0,0,0,0,1,1
191,Prentiss.Henry,0,0,0,0,1,0,0
192,Prince.John,0,0,0,0,1,0,0
193,Prince.Job,0,0,0,0,0,0,1
194,Proctor.Edward,0,0,1,0,1,0,1
195,Pulling.John,0,0,1,0,0,0,1
196,Pulling.Richard,1,0,0,0,0,0,0
197,Purkitt.Henry,0,0,0,0,1,0,0
198,Quincy.Josiah,0,0,0,1,0,1,0
199,Randall.John,0,0,0,0,1,0,0
200,Revere.Paul,1,0,1,1,1,0,1
201,Roby.Joseph,0,0,0,0,1,0,0
202,Roylson.Thomas,0,0,0,0,0,0,1
203,Ruddock.Abiel,0,0,1,0,0,0,1
204,Russell.John,0,0,0,0,1,0,0
205,Russell.William,0,0,0,0,1,0,0
206,Sessions.Robert,0,0,0,0,1,0,0
207,Seward.James,1,0,0,0,0,0,0
208,Sharp.Gibbens,0,0,1,0,0,0,0
209,Shed.Joseph,0,0,0,0,1,0,0
210,Sigourney.John,0,0,1,0,0,0,0
211,Simpson.Benjamin,0,0,0,0,1,0,0
212,Slater.Peter,0,0,0,0,1,0,0
213,Sloper.Ambrose,1,0,0,0,0,0,0
214,Smith.John,0,1,0,0,0,0,0
215,Spear.Thomas,0,0,0,0,1,0,0
216,Sprague.Samuel,0,0,0,0,1,0,0
217,Spurr.John,0,0,0,0,1,0,0
218,Stanbridge.Henry,1,0,0,0,0,0,0
219,Starr.James,0,0,0,0,1,0,0
220,Stearns.Phineas,0,0,0,0,1,0,0
221,Stevens.Ebenezer,0,0,0,0,1,0,0
222,Stoddard.Asa,0,0,1,0,0,0,0
223,Stoddard.Jonathan,0,0,1,0,0,0,0
224,Story.Elisha,0,0,1,0,1,0,0
225,Swan.James,0,0,1,0,1,0,0
226,Sweetser.John,0,0,0,0,0,1,0
227,Symmes.Eben,0,0,1,0,0,0,0
228,Symmes.John,0,0,1,0,0,0,0
229,Tabor.Philip,1,0,0,0,0,0,0
230,Tileston.Thomas,0,0,1,0,0,0,0
231,Trott.George,0,1,0,0,0,0,0
232,Tyler.Royall,0,0,0,1,0,0,0
233,Urann.Thomas,1,0,1,0,1,0,0
234,Vernon.Fortesque,0,0,0,0,0,0,1
235,Waldo.Benjamin,0,0,0,0,0,0,1
236,Warren.Joseph,1,0,1,1,0,1,1
237,Webb.Joseph,1,0,0,0,0,0,0
238,Webster.Thomas,1,0,0,0,0,0,0
239,Welles.Henry,1,1,0,0,0,0,0
240,Wendell.Oliver,0,0,0,0,0,1,1
241,Wheeler.Josiah,0,0,0,0,1,0,0
242,White.Samuel,0,0,1,0,0,0,0
243,Whitten.John,1,0,0,0,0,0,0
244,Whitwell.Samuel,0,0,0,0,0,0,1
245,Whitwell.William,0,0,0,0,0,0,1
246,Williams.Jeremiah,0,0,0,0,1,0,0
247,Williams.Jonathan,0,0,0,0,0,0,1
248,Williams.Thomas,0,0,0,0,1,0,0
249,Willis.Nathaniel,0,0,0,0,1,0,0
250,Wingfield.William,1,0,0,0,0,0,0
251,Winslow.John,0,0,0,1,0,0,0
252,Winthrop.John,0,0,1,0,0,0,1
253,Wyeth.Joshua,0,0,0,0,1,0,0
254,Young.Thomas,0,0,1,0,1,1,0
